objet,Room,number,Link,object category,decoration
doudou,Bedroom ,3,1,plush ,
lamp,desk ,1,2,lamp,
lamp ,Bedroom ,1,2,lamp ,
decorative lamp,desk ,2,3,lamp,x
decorative lam ,Bedroom ,1,3,lamp,x
printer,desk ,1,4,electonic ,
computer,desk ,1,2,electronic,
Ipad,desk ,1,2,electronic,
phone,Other,1,2,electronic,
extension cord,desk bedroom,2,2,cable cord,
pull ,wardrob,2,3,cloth,
printer paper pack,desk,1,5,paper,
computer charger,desk,1,2,cable cord,
adaptator,desk bedroom,4,2,cable cord,
project folder sci-fi,desk,1,8,Project,
Monopoly ,desk ,1,4,game,
trivial pursuit,desk,1,4,game,
card against humanity ,desk,1,4,game,
card game,desk,2,6,game,
box ,desk,2,6,game,
poulp plush ,desk,1,3,plush ,x
the animator's survival kit ,desk,1,3,book,
Médecine interne,desk,1,3,book ,
ideas for animated short ,desk ,1,3,book,
instruction manual - sewing machine,desk ,1,3,book ,
Dune - Frank Herbert ,desk ,1,3,book ,
L'origine de la violence - Humbert,desk ,1,3,book ,
Des hommes sans femmes -Murakami,desk ,1,3,book ,
Frankestein - Mary Shelley ,desk ,1,3,book ,
Dragon - Lovecraft ,desk ,1,3,book ,
Les fourmis - Werber,desk,1,3,book ,
Le dernier restaurant avant la fin du monde - Adams,desk ,1,3,book ,
Fondation -  Asimov,desk ,1,3,book ,
American gods - Gaiman,desk,1,3,book ,
Do androids dream of electric sheep - K. Dick ,desk ,1,3,book ,
Métamorphose - Kafka ,desk ,1,3,book ,
L'archipel du goulag - Soljénitsyne,desk ,1,3,book ,
Tarantula - Bob Dylan ,desk ,1,3,book ,
Selected Poems - Jorge Luis Borges ,desk ,1,3,book ,
Nouvelles en trois lignes - Fénéon ,desk ,1,3,book ,
Nouvelle encyclopédie du savoir absolue - Werber,desk ,1,3,book ,
Genius  A very short introduction - Robinson ,desk ,1,3,book ,
L'étonnant pouvoir des couleurs ,desk ,1,3,book ,
Un jour je m'en irais sans avoir tout dit - Jean D'Omerson ,desk ,1,3,book ,
Computer science A very short introduction ,desk ,1,3,book ,
Futur Crime - Marc Goodman ,desk ,1,3,book ,
Histoire général du Xxe siècle - Rowley ,desk ,1,3,book ,
Histoire de la chine - Fairbank ,desk ,1,3,book ,
Le capital - Marx,desk ,1,3,book ,
State and revolution - Lenin,desk ,1,3,book ,
family and friend picture book ,desk ,1,1,sentimental ,
China mirror ,desk ,1,1,sentimantal ,x
Dice ,desk ,35,7,game,
Marron ,desk ,6,4,other ,x
dino rubber,desk ,1,4,other ,x
red cat ,desk ,1,6,other ,x
card game,desk,2,4,game,
