object ,room ,number_of_item ,link_to_me ,category ,is_it_decoration
doudou,Bedroom ,3,1,plush ,
lamp,desk ,1,2,lamp,
lamp ,Bedroom ,1,2,lamp ,
decorative lamp,desk ,2,3,lamp,x
decorative lam ,Bedroom ,1,3,lamp,x
printer,desk ,1,4,electonic ,
computer,desk ,1,2,electronic,
Ipad,desk ,1,2,electronic,
phone,Other,1,2,electronic,
extension cord,desk bedroom,2,2,cable cord,
pull ,wardrob,2,3,cloth,
printer paper,desk,x,5,paper,
computer charger,desk,1,2,cable cord,
adaptator,desk bedroom,4,2,cable cord,
project folder sci-fi,desk,1,8,Project,
Monopoly ,desk ,1,4,game,
trivial pursuit,desk,1,4,game,
card against humanity ,desk,1,4,game,
card game,desk,4,4 6 ,game,
box ,desk,2,6,game,
poulp plush ,desk,1,3,plush ,x
the animator's survival kit ,desk,1,3,book,
M�decine interne,desk,1,3,book ,
ideas for animated short ,desk ,1,3,book,
instruction manual - sewing machine,desk ,1,3,book ,
Dune - Frank Herbert ,desk ,1,3,book ,
L'origine de la violence - Humbert,desk ,1,3,book ,
Des hommes sans femmes -Murakami,desk ,1,3,book ,
Frankestein - Mary Shelley ,desk ,1,3,book ,
Dragon - Lovecraft ,desk ,1,3,book ,
Les fourmis - Werber,desk,1,3,book ,
Le dernier restaurant avant la fin du monde - Adams,desk ,1,3,book ,
Fondation -  Asimov,desk ,1,3,book ,
American gods - Gaiman,desk,1,3,book ,
Do androids dream of electric sheep - K. Dick ,desk ,1,3,book ,
M�tamorphose - Kafka ,desk ,1,3,book ,
L'archipel du goulag - Solj�nitsyne,desk ,1,3,book ,
Tarantula - Bob Dylan ,desk ,1,3,book ,
Selected Poems - Jorge Luis Borges ,desk ,1,3,book ,
Nouvelles en trois lignes - F�n�on ,desk ,1,3,book ,
Nouvelle encyclop�die du savoir absolue - Werber,desk ,1,3,book ,
Genius  A very short introduction - Robinson ,desk ,1,3,book ,
L'�tonnant pouvoir des couleurs ,desk ,1,3,book ,
Un jour je m'en irais sans avoir tout dit - Jean D'Omerson ,desk ,1,3,book ,
Computer science A very short introduction ,desk ,1,3,book ,
Futur Crime - Marc Goodman ,desk ,1,3,book ,
Histoire g�n�ral du Xxe si�cle - Rowley ,desk ,1,3,book ,
Histoire de la chine - Fairbank ,desk ,1,3,book ,
Le capital - Marx,desk ,1,3,book ,
State and revolution - Lenin,desk ,1,3,book ,
family and friend picture book ,desk ,1,1,sentimental ,
China mirror ,desk ,1,1,sentimantal ,x
Dice ,desk ,35,7,game,
Marron ,desk ,6,4,other ,x
dino rubber,desk ,1,4,other ,x
red cat ,desk ,1,6,other ,x
t-shirt,wardrob,5,3,clothe,
t-shirt,wardrob,8,4,clothe,
t-shirt,wardrob,3,6,clothe,
legging,wardrob ,1,3,clothe,
legging,wardrob,3,4,clothe,
legging,wardrob,1,6,clothe,
pyjama,wardrob,2,2,clothe,
pyjama,wardrob,3,6,clothe,
underwear,wardrob ,10,2,clothe,
underwear,wardrob,8,4,clothe,
underwear,wardrob,2,6,clothe,
bra,wardrob,4,2,clothe,
bra,wardrob,1,2,clothe,
socks,wardrob,33,3,clothe,
